TxId,RxId,PanelId,TxX,TxY,TxZ,RxX,RxY,RxZ,PanelX,PanelY,PanelZ,IncidentAngleDeg,ReflectionAngleDeg,ReflectionErrorDeg,SteeringAngleDeg,SpecularStatus,DistanceTxToPanel_m,DistancePanelToRx_m,TotalDistance_m
1,2,1,2.000,2.080,2.600,2.600,2.080,2.600,5.000,8.875,4.500,27.59,24.25,3.34,51.77,Steering,7.667,7.453,15.120
1,3,1,2.000,2.080,2.600,3.200,2.080,2.600,5.000,8.875,4.500,27.59,21.07,6.53,48.27,Steering,7.667,7.282,14.949
1,4,1,2.000,2.080,2.600,3.800,2.080,2.600,5.000,8.875,4.500,27.59,18.30,9.29,44.76,Steering,7.667,7.157,14.824
1,5,1,2.000,2.080,2.600,4.400,2.080,2.600,5.000,8.875,4.500,27.59,16.34,11.25,41.34,Steering,7.667,7.081,14.748
1,6,1,2.000,2.080,2.600,5.000,2.080,2.600,5.000,8.875,4.500,27.59,15.62,11.97,38.11,Steering,7.667,7.056,14.723
1,7,1,2.000,2.080,2.600,5.600,2.080,2.600,5.000,8.875,4.500,27.59,16.34,11.25,35.20,Steering,7.667,7.081,14.748
1,8,1,2.000,2.080,2.600,6.200,2.080,2.600,5.000,8.875,4.500,27.59,18.30,9.29,32.73,Steering,7.667,7.157,14.824
1,9,1,2.000,2.080,2.600,6.800,2.080,2.600,5.000,8.875,4.500,27.59,21.07,6.53,30.78,Steering,7.667,7.282,14.949
1,10,1,2.000,2.080,2.600,7.400,2.080,2.600,5.000,8.875,4.500,27.59,24.25,3.34,29.44,Steering,7.667,7.453,15.120
1,11,1,2.000,2.080,2.600,8.000,2.080,2.600,5.000,8.875,4.500,27.59,27.59,0.00,28.70,Steering,7.667,7.667,15.334
1,12,1,2.000,2.080,2.600,8.600,2.080,2.600,5.000,8.875,4.500,27.59,30.92,3.33,28.52,Steering,7.667,7.921,15.588
1,13,8,2.000,2.080,2.600,9.200,2.080,2.600,6.000,8.875,4.500,33.09,28.71,4.38,28.23,Steering,8.111,7.747,15.858
1,14,8,2.000,2.080,2.600,9.800,2.080,2.600,6.000,8.875,4.500,33.09,32.02,1.08,27.29,Steering,8.111,8.014,16.124
1,15,8,2.000,2.080,2.600,10.400,2.080,2.600,6.000,8.875,4.500,33.09,35.20,2.10,26.87,Steering,8.111,8.315,16.426
1,16,8,2.000,2.080,2.600,11.000,2.080,2.600,6.000,8.875,4.500,33.09,38.21,5.12,26.88,Steering,8.111,8.648,16.758
1,17,15,2.000,2.080,2.600,11.600,2.080,2.600,7.000,8.875,4.500,38.21,36.22,1.99,25.83,Steering,8.648,8.423,17.070
1,18,15,2.000,2.080,2.600,12.200,2.080,2.600,7.000,8.875,4.500,38.21,39.17,0.96,25.23,Steering,8.648,8.765,17.412
1,19,15,2.000,2.080,2.600,12.800,2.080,2.600,7.000,8.875,4.500,38.21,41.93,3.72,25.04,Steering,8.648,9.134,17.781
1,20,22,2.000,2.080,2.600,13.400,2.080,2.600,8.000,8.875,4.500,42.81,40.11,2.69,24.36,Steering,9.262,8.885,18.147
1,21,1,2.000,2.080,2.600,2.000,2.080,5.000,5.000,8.875,4.500,27.59,24.11,3.48,48.09,Steering,7.667,7.445,15.112
1,22,1,2.000,2.080,2.600,2.600,2.080,5.000,5.000,8.875,4.500,27.59,19.84,7.75,43.88,Steering,7.667,7.224,14.891
1,23,1,2.000,2.080,2.600,3.200,2.080,5.000,5.000,8.875,4.500,27.59,15.37,12.22,39.45,Steering,7.667,7.047,14.714
1,24,1,2.000,2.080,2.600,3.800,2.080,5.000,5.000,8.875,4.500,27.59,10.83,16.76,34.86,Steering,7.667,6.918,14.585
1,25,1,2.000,2.080,2.600,4.400,2.080,5.000,5.000,8.875,4.500,27.59,6.56,21.03,30.20,Steering,7.667,6.840,14.507
1,26,1,2.000,2.080,2.600,5.000,2.080,5.000,5.000,8.875,4.500,27.59,4.21,23.38,25.57,Steering,7.667,6.813,14.480
1,27,1,2.000,2.080,2.600,5.600,2.080,5.000,5.000,8.875,4.500,27.59,6.56,21.03,21.11,Steering,7.667,6.840,14.507
1,28,1,2.000,2.080,2.600,6.200,2.080,5.000,5.000,8.875,4.500,27.59,10.83,16.76,17.01,Steering,7.667,6.918,14.585
1,29,1,2.000,2.080,2.600,6.800,2.080,5.000,5.000,8.875,4.500,27.59,15.37,12.22,13.57,Steering,7.667,7.047,14.714
1,30,1,2.000,2.080,2.600,7.400,2.080,5.000,5.000,8.875,4.500,27.59,19.84,7.75,11.24,Steering,7.667,7.224,14.891
1,31,1,2.000,2.080,2.600,8.000,2.080,5.000,5.000,8.875,4.500,27.59,24.11,3.48,10.50,Steering,7.667,7.445,15.112
1,32,1,2.000,2.080,2.600,8.600,2.080,5.000,5.000,8.875,4.500,27.59,28.14,0.55,11.37,Steering,7.667,7.706,15.373
1,33,8,2.000,2.080,2.600,9.200,2.080,5.000,6.000,8.875,4.500,33.09,25.48,7.61,11.04,Steering,8.111,7.527,15.638
1,34,8,2.000,2.080,2.600,9.800,2.080,5.000,6.000,8.875,4.500,33.09,29.43,3.67,9.95,Steering,8.111,7.801,15.912
1,35,8,2.000,2.080,2.600,10.400,2.080,5.000,6.000,8.875,4.500,33.09,33.09,0.00,10.30,Steering,8.111,8.111,16.221
1,36,15,2.000,2.080,2.600,11.000,2.080,5.000,7.000,8.875,4.500,38.21,30.68,7.53,10.76,Steering,8.648,7.901,16.548
1,37,15,2.000,2.080,2.600,11.600,2.080,5.000,7.000,8.875,4.500,38.21,34.25,3.96,9.47,Steering,8.648,8.221,16.868
1,38,15,2.000,2.080,2.600,12.200,2.080,5.000,7.000,8.875,4.500,38.21,37.55,0.66,9.41,Steering,8.648,8.571,17.219
1,39,15,2.000,2.080,2.600,12.800,2.080,5.000,7.000,8.875,4.500,38.21,40.59,2.38,10.33,Steering,8.648,8.948,17.595
1,40,22,2.000,2.080,2.600,13.400,2.080,5.000,8.000,8.875,4.500,42.81,38.59,4.21,9.03,Steering,9.262,8.694,17.956
1,41,1,2.000,2.080,2.600,2.000,2.080,7.400,5.000,8.875,4.500,27.59,31.55,3.96,45.72,Steering,7.667,7.974,15.641
1,42,2,2.000,2.080,2.600,2.600,2.080,7.400,5.000,8.875,5.500,31.55,24.25,7.30,41.54,Steering,7.974,7.453,15.426
1,43,2,2.000,2.080,2.600,3.200,2.080,7.400,5.000,8.875,5.500,31.55,21.07,10.49,37.15,Steering,7.974,7.282,15.255
1,44,2,2.000,2.080,2.600,3.800,2.080,7.400,5.000,8.875,5.500,31.55,18.30,13.25,32.59,Steering,7.974,7.157,15.131
1,45,2,2.000,2.080,2.600,4.400,2.080,7.400,5.000,8.875,5.500,31.55,16.34,15.21,27.94,Steering,7.974,7.081,15.055
1,46,2,2.000,2.080,2.600,5.000,2.080,7.400,5.000,8.875,5.500,31.55,15.62,15.93,23.27,Steering,7.974,7.056,15.029
1,47,2,2.000,2.080,2.600,5.600,2.080,7.400,5.000,8.875,5.500,31.55,16.34,15.21,18.70,Steering,7.974,7.081,15.055
