TxId,RxId,PanelId,TxX,TxY,TxZ,RxX,RxY,RxZ,PanelX,PanelY,PanelZ,IncidentAngleDeg,ReflectionAngleDeg,ReflectionErrorDeg,SteeringAngleDeg,SpecularStatus,DistanceTxToPanel_m,DistancePanelToRx_m,TotalDistance_m
1,2,1,2.000,2.080,2.600,2.600,2.080,2.600,5.000,12.875,4.500,18.21,15.83,2.38,33.99,Steering,11.364,11.221,22.585
1,3,1,2.000,2.080,2.600,3.200,2.080,2.600,5.000,12.875,4.500,18.21,13.63,4.58,31.59,Steering,11.364,11.108,22.472
1,4,1,2.000,2.080,2.600,3.800,2.080,2.600,5.000,12.875,4.500,18.21,11.76,6.45,29.26,Steering,11.364,11.026,22.390
1,5,1,2.000,2.080,2.600,4.400,2.080,2.600,5.000,12.875,4.500,18.21,10.46,7.75,27.03,Steering,11.364,10.977,22.341
1,6,1,2.000,2.080,2.600,5.000,2.080,2.600,5.000,12.875,4.500,18.21,9.98,8.23,24.97,Steering,11.364,10.961,22.325
1,7,1,2.000,2.080,2.600,5.600,2.080,2.600,5.000,12.875,4.500,18.21,10.46,7.75,23.13,Steering,11.364,10.977,22.341
1,8,1,2.000,2.080,2.600,6.200,2.080,2.600,5.000,12.875,4.500,18.21,11.76,6.45,21.58,Steering,11.364,11.026,22.390
1,9,1,2.000,2.080,2.600,6.800,2.080,2.600,5.000,12.875,4.500,18.21,13.63,4.58,20.39,Steering,11.364,11.108,22.472
1,10,1,2.000,2.080,2.600,7.400,2.080,2.600,5.000,12.875,4.500,18.21,15.83,2.38,19.60,Steering,11.364,11.221,22.585
1,11,1,2.000,2.080,2.600,8.000,2.080,2.600,5.000,12.875,4.500,18.21,18.21,0.00,19.25,Steering,11.364,11.364,22.728
1,12,1,2.000,2.080,2.600,8.600,2.080,2.600,5.000,12.875,4.500,18.21,20.66,2.45,19.32,Steering,11.364,11.537,22.901
1,13,8,2.000,2.080,2.600,9.200,2.080,2.600,6.000,12.875,4.500,22.30,19.02,3.28,19.33,Steering,11.668,11.419,23.086
1,14,8,2.000,2.080,2.600,9.800,2.080,2.600,6.000,12.875,4.500,22.30,21.48,0.82,18.82,Steering,11.668,11.601,23.269
1,15,8,2.000,2.080,2.600,10.400,2.080,2.600,6.000,12.875,4.500,22.30,23.94,1.64,18.72,Steering,11.668,11.811,23.479
1,16,8,2.000,2.080,2.600,11.000,2.080,2.600,6.000,12.875,4.500,22.30,26.36,4.05,18.99,Steering,11.668,12.047,23.715
1,17,15,2.000,2.080,2.600,11.600,2.080,2.600,7.000,12.875,4.500,26.36,24.75,1.61,18.36,Steering,12.047,11.887,23.935
1,18,15,2.000,2.080,2.600,12.200,2.080,2.600,7.000,12.875,4.500,26.36,27.15,0.79,18.10,Steering,12.047,12.132,24.179
1,19,15,2.000,2.080,2.600,12.800,2.080,2.600,7.000,12.875,4.500,26.36,29.48,3.12,18.20,Steering,12.047,12.401,24.448
1,20,22,2.000,2.080,2.600,13.400,2.080,2.600,8.000,12.875,4.500,30.24,27.94,2.31,17.86,Steering,12.496,12.219,24.715
1,21,1,2.000,2.080,2.600,2.000,2.080,5.000,5.000,12.875,4.500,18.21,15.73,2.47,31.66,Steering,11.364,11.215,22.579
1,22,1,2.000,2.080,2.600,2.600,2.080,5.000,5.000,12.875,4.500,18.21,12.79,5.41,28.76,Steering,11.364,11.070,22.434
1,23,1,2.000,2.080,2.600,3.200,2.080,5.000,5.000,12.875,4.500,18.21,9.82,8.39,25.81,Steering,11.364,10.955,22.320
1,24,1,2.000,2.080,2.600,3.800,2.080,5.000,5.000,12.875,4.500,18.21,6.87,11.34,22.83,Steering,11.364,10.873,22.237
1,25,1,2.000,2.080,2.600,4.400,2.080,5.000,5.000,12.875,4.500,18.21,4.14,14.07,19.86,Steering,11.364,10.823,22.187
1,26,1,2.000,2.080,2.600,5.000,2.080,5.000,5.000,12.875,4.500,18.21,2.65,15.56,16.93,Steering,11.364,10.807,22.171
1,27,1,2.000,2.080,2.600,5.600,2.080,5.000,5.000,12.875,4.500,18.21,4.14,14.07,14.12,Steering,11.364,10.823,22.187
1,28,1,2.000,2.080,2.600,6.200,2.080,5.000,5.000,12.875,4.500,18.21,6.87,11.34,11.50,Steering,11.364,10.873,22.237
1,29,1,2.000,2.080,2.600,6.800,2.080,5.000,5.000,12.875,4.500,18.21,9.82,8.39,9.24,Steering,11.364,10.955,22.320
1,30,1,2.000,2.080,2.600,7.400,2.080,5.000,5.000,12.875,4.500,18.21,12.79,5.41,7.64,Steering,11.364,11.070,22.434
1,31,1,2.000,2.080,2.600,8.000,2.080,5.000,5.000,12.875,4.500,18.21,15.73,2.47,7.07,Steering,11.364,11.215,22.579
1,32,1,2.000,2.080,2.600,8.600,2.080,5.000,5.000,12.875,4.500,18.21,18.61,0.40,7.68,Steering,11.364,11.390,22.755
1,33,8,2.000,2.080,2.600,9.200,2.080,5.000,6.000,12.875,4.500,22.30,16.70,5.60,7.81,Steering,11.668,11.270,22.938
1,34,8,2.000,2.080,2.600,9.800,2.080,5.000,6.000,12.875,4.500,22.30,19.55,2.76,6.93,Steering,11.668,11.455,23.123
1,35,8,2.000,2.080,2.600,10.400,2.080,5.000,6.000,12.875,4.500,22.30,22.30,0.00,7.15,Steering,11.668,11.668,23.336
1,36,15,2.000,2.080,2.600,11.000,2.080,5.000,7.000,12.875,4.500,26.36,20.48,5.88,7.97,Steering,12.047,11.523,23.571
1,37,15,2.000,2.080,2.600,11.600,2.080,5.000,7.000,12.875,4.500,26.36,23.20,3.16,6.86,Steering,12.047,11.745,23.792
1,38,15,2.000,2.080,2.600,12.200,2.080,5.000,7.000,12.875,4.500,26.36,25.82,0.53,6.74,Steering,12.047,11.993,24.040
1,39,15,2.000,2.080,2.600,12.800,2.080,5.000,7.000,12.875,4.500,26.36,28.34,1.98,7.54,Steering,12.047,12.265,24.312
1,40,22,2.000,2.080,2.600,13.400,2.080,5.000,8.000,12.875,4.500,30.24,26.67,3.57,6.84,Steering,12.496,12.081,24.576
1,41,1,2.000,2.080,2.600,2.000,2.080,7.400,5.000,12.875,4.500,18.21,21.13,2.92,30.74,Steering,11.364,11.573,22.937
1,42,2,2.000,2.080,2.600,2.600,2.080,7.400,5.000,12.875,5.500,21.13,15.83,5.30,27.83,Steering,11.573,11.221,22.794
1,43,2,2.000,2.080,2.600,3.200,2.080,7.400,5.000,12.875,5.500,21.13,13.63,7.50,24.86,Steering,11.573,11.108,22.681
1,44,2,2.000,2.080,2.600,3.800,2.080,7.400,5.000,12.875,5.500,21.13,11.76,9.37,21.85,Steering,11.573,11.026,22.600
1,45,2,2.000,2.080,2.600,4.400,2.080,7.400,5.000,12.875,5.500,21.13,10.46,10.68,18.83,Steering,11.573,10.977,22.551
1,46,2,2.000,2.080,2.600,5.000,2.080,7.400,5.000,12.875,5.500,21.13,9.98,11.15,15.83,Steering,11.573,10.961,22.534
1,47,2,2.000,2.080,2.600,5.600,2.080,7.400,5.000,12.875,5.500,21.13,10.46,10.68,12.89,Steering,11.573,10.977,22.551
1,48,2,2.000,2.080,2.600,6.200,2.080,7.400,5.000,12.875,5.500,21.13,11.76,9.37,10.08,Steering,11.573,11.026,22.600
1,49,2,2.000,2.080,2.600,6.800,2.080,7.400,5.000,12.875,5.500,21.13,13.63,7.50,7.54,Steering,11.573,11.108,22.681
1,50,2,2.000,2.080,2.600,7.400,2.080,7.400,5.000,12.875,5.500,21.13,15.83,5.30,5.59,Steering,11.573,11.221,22.794
1,51,1,2.000,2.080,2.600,8.000,2.080,7.400,5.000,12.875,4.500,18.21,21.13,2.92,4.89,Specular,11.364,11.573,22.937
1,52,1,2.000,2.080,2.600,8.600,2.080,7.400,5.000,12.875,4.500,18.21,23.18,4.97,5.47,Steering,11.364,11.743,23.107
1,53,9,2.000,2.080,2.600,9.200,2.080,7.400,6.000,12.875,5.500,24.59,19.02,5.57,5.90,Steering,11.872,11.419,23.290
1,54,9,2.000,2.080,2.600,9.800,2.080,7.400,6.000,12.875,5.500,24.59,21.48,3.11,4.80,Specular,11.872,11.601,23.473
