TxId,RxId,PanelId,TxX,TxY,TxZ,RxX,RxY,RxZ,PanelX,PanelY,PanelZ,IncidentAngleDeg,ReflectionAngleDeg,ReflectionErrorDeg,SteeringAngleDeg,SpecularStatus,DistanceTxToPanel_m,DistancePanelToRx_m,TotalDistance_m
1,2,1,2.000,2.080,2.600,2.600,2.080,2.600,5.000,10.875,4.500,21.99,19.19,2.80,41.12,Steering,9.485,9.312,18.797
1,3,1,2.000,2.080,2.600,3.200,2.080,2.600,5.000,10.875,4.500,21.99,16.57,5.41,38.26,Steering,9.485,9.176,18.661
1,4,1,2.000,2.080,2.600,3.800,2.080,2.600,5.000,10.875,4.500,21.99,14.33,7.65,35.45,Steering,9.485,9.078,18.562
1,5,1,2.000,2.080,2.600,4.400,2.080,2.600,5.000,10.875,4.500,21.99,12.76,9.22,32.74,Steering,9.485,9.018,18.503
1,6,1,2.000,2.080,2.600,5.000,2.080,2.600,5.000,10.875,4.500,21.99,12.19,9.80,30.22,Steering,9.485,8.998,18.483
1,7,1,2.000,2.080,2.600,5.600,2.080,2.600,5.000,10.875,4.500,21.99,12.76,9.22,27.97,Steering,9.485,9.018,18.503
1,8,1,2.000,2.080,2.600,6.200,2.080,2.600,5.000,10.875,4.500,21.99,14.33,7.65,26.07,Steering,9.485,9.078,18.562
1,9,1,2.000,2.080,2.600,6.800,2.080,2.600,5.000,10.875,4.500,21.99,16.57,5.41,24.59,Steering,9.485,9.176,18.661
1,10,1,2.000,2.080,2.600,7.400,2.080,2.600,5.000,10.875,4.500,21.99,19.19,2.80,23.60,Steering,9.485,9.312,18.797
1,11,1,2.000,2.080,2.600,8.000,2.080,2.600,5.000,10.875,4.500,21.99,21.99,0.00,23.11,Steering,9.485,9.485,18.970
1,12,1,2.000,2.080,2.600,8.600,2.080,2.600,5.000,10.875,4.500,21.99,24.84,2.85,23.11,Steering,9.485,9.691,19.176
1,13,8,2.000,2.080,2.600,9.200,2.080,2.600,6.000,10.875,4.500,26.73,22.94,3.79,23.03,Steering,9.847,9.550,19.397
1,14,8,2.000,2.080,2.600,9.800,2.080,2.600,6.000,10.875,4.500,26.73,25.78,0.94,22.37,Steering,9.847,9.767,19.614
1,15,8,2.000,2.080,2.600,10.400,2.080,2.600,6.000,10.875,4.500,26.73,28.59,1.86,22.16,Steering,9.847,10.016,19.863
1,16,8,2.000,2.080,2.600,11.000,2.080,2.600,6.000,10.875,4.500,26.73,31.31,4.58,22.36,Steering,9.847,10.294,20.141
1,17,15,2.000,2.080,2.600,11.600,2.080,2.600,7.000,10.875,4.500,31.31,29.50,1.80,21.57,Steering,10.294,10.106,20.399
1,18,15,2.000,2.080,2.600,12.200,2.080,2.600,7.000,10.875,4.500,31.31,32.19,0.88,21.19,Steering,10.294,10.392,20.686
1,19,15,2.000,2.080,2.600,12.800,2.080,2.600,7.000,10.875,4.500,31.31,34.76,3.45,21.20,Steering,10.294,10.705,20.999
1,20,22,2.000,2.080,2.600,13.400,2.080,2.600,8.000,10.875,4.500,35.59,33.06,2.53,20.73,Steering,10.815,10.494,21.309
1,21,1,2.000,2.080,2.600,2.000,2.080,5.000,5.000,10.875,4.500,21.99,19.08,2.91,38.27,Steering,9.485,9.306,18.791
1,22,1,2.000,2.080,2.600,2.600,2.080,5.000,5.000,10.875,4.500,21.99,15.58,6.41,34.81,Steering,9.485,9.130,18.615
1,23,1,2.000,2.080,2.600,3.200,2.080,5.000,5.000,10.875,4.500,21.99,11.99,9.99,31.26,Steering,9.485,8.991,18.476
1,24,1,2.000,2.080,2.600,3.800,2.080,5.000,5.000,10.875,4.500,21.99,8.41,13.58,27.64,Steering,9.485,8.891,18.375
1,25,1,2.000,2.080,2.600,4.400,2.080,5.000,5.000,10.875,4.500,21.99,5.07,16.91,24.01,Steering,9.485,8.830,18.314
1,26,1,2.000,2.080,2.600,5.000,2.080,5.000,5.000,10.875,4.500,21.99,3.25,18.73,20.42,Steering,9.485,8.809,18.294
1,27,1,2.000,2.080,2.600,5.600,2.080,5.000,5.000,10.875,4.500,21.99,5.07,16.91,16.97,Steering,9.485,8.830,18.314
1,28,1,2.000,2.080,2.600,6.200,2.080,5.000,5.000,10.875,4.500,21.99,8.41,13.58,13.77,Steering,9.485,8.891,18.375
1,29,1,2.000,2.080,2.600,6.800,2.080,5.000,5.000,10.875,4.500,21.99,11.99,9.99,11.04,Steering,9.485,8.991,18.476
1,30,1,2.000,2.080,2.600,7.400,2.080,5.000,5.000,10.875,4.500,21.99,15.58,6.41,9.13,Steering,9.485,9.130,18.615
1,31,1,2.000,2.080,2.600,8.000,2.080,5.000,5.000,10.875,4.500,21.99,19.08,2.91,8.48,Steering,9.485,9.306,18.791
1,32,1,2.000,2.080,2.600,8.600,2.080,5.000,5.000,10.875,4.500,21.99,22.45,0.47,9.19,Steering,9.485,9.516,19.001
1,33,8,2.000,2.080,2.600,9.200,2.080,5.000,6.000,10.875,4.500,26.73,20.22,6.51,9.20,Steering,9.847,9.372,19.219
1,34,8,2.000,2.080,2.600,9.800,2.080,5.000,6.000,10.875,4.500,26.73,23.55,3.18,8.21,Steering,9.847,9.594,19.441
1,35,8,2.000,2.080,2.600,10.400,2.080,5.000,6.000,10.875,4.500,26.73,26.73,0.00,8.48,Steering,9.847,9.847,19.694
1,36,15,2.000,2.080,2.600,11.000,2.080,5.000,7.000,10.875,4.500,31.31,24.62,6.68,9.23,Steering,10.294,9.675,19.969
1,37,15,2.000,2.080,2.600,11.600,2.080,5.000,7.000,10.875,4.500,31.31,27.75,3.56,8.00,Steering,10.294,9.938,20.232
1,38,15,2.000,2.080,2.600,12.200,2.080,5.000,7.000,10.875,4.500,31.31,30.71,0.60,7.89,Steering,10.294,10.229,20.523
1,39,15,2.000,2.080,2.600,12.800,2.080,5.000,7.000,10.875,4.500,31.31,33.50,2.19,8.76,Steering,10.294,10.547,20.841
1,40,22,2.000,2.080,2.600,13.400,2.080,5.000,8.000,10.875,4.500,35.59,31.66,3.93,7.84,Steering,10.815,10.333,21.147
1,41,2,2.000,2.080,2.600,2.000,2.080,7.400,5.000,10.875,5.500,25.38,21.99,3.39,36.87,Steering,9.735,9.485,19.219
1,42,2,2.000,2.080,2.600,2.600,2.080,7.400,5.000,10.875,5.500,25.38,19.19,6.19,33.42,Steering,9.735,9.312,19.047
1,43,2,2.000,2.080,2.600,3.200,2.080,7.400,5.000,10.875,5.500,25.38,16.57,8.81,29.87,Steering,9.735,9.176,18.911
1,44,2,2.000,2.080,2.600,3.800,2.080,7.400,5.000,10.875,5.500,25.38,14.33,11.05,26.24,Steering,9.735,9.078,18.812
1,45,2,2.000,2.080,2.600,4.400,2.080,7.400,5.000,10.875,5.500,25.38,12.76,12.62,22.57,Steering,9.735,9.018,18.752
1,46,2,2.000,2.080,2.600,5.000,2.080,7.400,5.000,10.875,5.500,25.38,12.19,13.19,18.91,Steering,9.735,8.998,18.732
1,47,2,2.000,2.080,2.600,5.600,2.080,7.400,5.000,10.875,5.500,25.38,12.76,12.62,15.33,Steering,9.735,9.018,18.752
1,48,2,2.000,2.080,2.600,6.200,2.080,7.400,5.000,10.875,5.500,25.38,14.33,11.05,11.92,Steering,9.735,9.078,18.812
1,49,2,2.000,2.080,2.600,6.800,2.080,7.400,5.000,10.875,5.500,25.38,16.57,8.81,8.85,Steering,9.735,9.176,18.911
1,50,2,2.000,2.080,2.600,7.400,2.080,7.400,5.000,10.875,5.500,25.38,19.19,6.19,6.55,Steering,9.735,9.312,19.047
1,51,1,2.000,2.080,2.600,8.000,2.080,7.400,5.000,10.875,4.500,21.99,25.38,3.39,5.78,Steering,9.485,9.735,19.219
1,52,1,2.000,2.080,2.600,8.600,2.080,7.400,5.000,10.875,4.500,21.99,27.73,5.74,6.35,Steering,9.485,9.936,19.421
1,53,9,2.000,2.080,2.600,9.200,2.080,7.400,6.000,10.875,5.500,29.33,22.94,6.39,6.79,Steering,10.088,9.550,19.638
