TxId,RxId,PanelId,TxX,TxY,TxZ,RxX,RxY,RxZ,PanelX,PanelY,PanelZ,IncidentAngleDeg,ReflectionAngleDeg,ReflectionErrorDeg,SteeringAngleDeg,SpecularStatus,DistanceTxToPanel_m,DistancePanelToRx_m,TotalDistance_m
1,2,1,2.000,2.080,2.600,2.600,2.080,2.600,5.000,11.875,4.500,19.93,17.35,2.57,37.23,Steering,10.419,10.262,20.681
1,3,1,2.000,2.080,2.600,3.200,2.080,2.600,5.000,11.875,4.500,19.93,14.96,4.97,34.62,Steering,10.419,10.139,20.557
1,4,1,2.000,2.080,2.600,3.800,2.080,2.600,5.000,11.875,4.500,19.93,12.92,7.01,32.06,Steering,10.419,10.049,20.468
1,5,1,2.000,2.080,2.600,4.400,2.080,2.600,5.000,11.875,4.500,19.93,11.50,8.43,29.62,Steering,10.419,9.996,20.414
1,6,1,2.000,2.080,2.600,5.000,2.080,2.600,5.000,11.875,4.500,19.93,10.98,8.95,27.35,Steering,10.419,9.978,20.396
1,7,1,2.000,2.080,2.600,5.600,2.080,2.600,5.000,11.875,4.500,19.93,11.50,8.43,25.33,Steering,10.419,9.996,20.414
1,8,1,2.000,2.080,2.600,6.200,2.080,2.600,5.000,11.875,4.500,19.93,12.92,7.01,23.62,Steering,10.419,10.049,20.468
1,9,1,2.000,2.080,2.600,6.800,2.080,2.600,5.000,11.875,4.500,19.93,14.96,4.97,22.30,Steering,10.419,10.139,20.557
1,10,1,2.000,2.080,2.600,7.400,2.080,2.600,5.000,11.875,4.500,19.93,17.35,2.57,21.42,Steering,10.419,10.262,20.681
1,11,1,2.000,2.080,2.600,8.000,2.080,2.600,5.000,11.875,4.500,19.93,19.93,0.00,21.01,Steering,10.419,10.419,20.838
1,12,1,2.000,2.080,2.600,8.600,2.080,2.600,5.000,11.875,4.500,19.93,22.57,2.64,21.06,Steering,10.419,10.607,21.026
1,13,8,2.000,2.080,2.600,9.200,2.080,2.600,6.000,11.875,4.500,24.33,20.80,3.52,21.03,Steering,10.750,10.478,21.228
1,14,8,2.000,2.080,2.600,9.800,2.080,2.600,6.000,11.875,4.500,24.33,23.45,0.88,20.46,Steering,10.750,10.677,21.426
1,15,8,2.000,2.080,2.600,10.400,2.080,2.600,6.000,11.875,4.500,24.33,26.07,1.74,20.31,Steering,10.750,10.905,21.654
1,16,8,2.000,2.080,2.600,11.000,2.080,2.600,6.000,11.875,4.500,24.33,28.64,4.31,20.55,Steering,10.750,11.160,21.910
1,17,15,2.000,2.080,2.600,11.600,2.080,2.600,7.000,11.875,4.500,28.64,26.94,1.70,19.85,Steering,11.160,10.987,22.147
1,18,15,2.000,2.080,2.600,12.200,2.080,2.600,7.000,11.875,4.500,28.64,29.48,0.84,19.55,Steering,11.160,11.251,22.412
1,19,15,2.000,2.080,2.600,12.800,2.080,2.600,7.000,11.875,4.500,28.64,31.93,3.29,19.61,Steering,11.160,11.541,22.701
1,20,22,2.000,2.080,2.600,13.400,2.080,2.600,8.000,11.875,4.500,32.72,30.30,2.42,19.21,Steering,11.643,11.345,22.988
1,21,1,2.000,2.080,2.600,2.000,2.080,5.000,5.000,11.875,4.500,19.93,17.25,2.68,34.66,Steering,10.419,10.256,20.675
1,22,1,2.000,2.080,2.600,2.600,2.080,5.000,5.000,11.875,4.500,19.93,14.05,5.88,31.51,Steering,10.419,10.097,20.516
1,23,1,2.000,2.080,2.600,3.200,2.080,5.000,5.000,11.875,4.500,19.93,10.80,9.13,28.28,Steering,10.419,9.972,20.390
1,24,1,2.000,2.080,2.600,3.800,2.080,5.000,5.000,11.875,4.500,19.93,7.56,12.37,25.01,Steering,10.419,9.881,20.300
1,25,1,2.000,2.080,2.600,4.400,2.080,5.000,5.000,11.875,4.500,19.93,4.56,15.37,21.74,Steering,10.419,9.826,20.245
1,26,1,2.000,2.080,2.600,5.000,2.080,5.000,5.000,11.875,4.500,19.93,2.92,17.01,18.52,Steering,10.419,9.808,20.227
1,27,1,2.000,2.080,2.600,5.600,2.080,5.000,5.000,11.875,4.500,19.93,4.56,15.37,15.42,Steering,10.419,9.826,20.245
1,28,1,2.000,2.080,2.600,6.200,2.080,5.000,5.000,11.875,4.500,19.93,7.56,12.37,12.54,Steering,10.419,9.881,20.300
1,29,1,2.000,2.080,2.600,6.800,2.080,5.000,5.000,11.875,4.500,19.93,10.80,9.13,10.07,Steering,10.419,9.972,20.390
1,30,1,2.000,2.080,2.600,7.400,2.080,5.000,5.000,11.875,4.500,19.93,14.05,5.88,8.32,Steering,10.419,10.097,20.516
1,31,1,2.000,2.080,2.600,8.000,2.080,5.000,5.000,11.875,4.500,19.93,17.25,2.68,7.71,Steering,10.419,10.256,20.675
1,32,1,2.000,2.080,2.600,8.600,2.080,5.000,5.000,11.875,4.500,19.93,20.36,0.43,8.37,Steering,10.419,10.448,20.866
1,33,8,2.000,2.080,2.600,9.200,2.080,5.000,6.000,11.875,4.500,24.33,18.30,6.03,8.46,Steering,10.750,10.317,21.066
1,34,8,2.000,2.080,2.600,9.800,2.080,5.000,6.000,11.875,4.500,24.33,21.37,2.96,7.52,Steering,10.750,10.518,21.268
1,35,8,2.000,2.080,2.600,10.400,2.080,5.000,6.000,11.875,4.500,24.33,24.33,0.00,7.77,Steering,10.750,10.750,21.499
1,36,15,2.000,2.080,2.600,11.000,2.080,5.000,7.000,11.875,4.500,28.64,22.37,6.27,8.57,Steering,11.160,10.592,21.752
1,37,15,2.000,2.080,2.600,11.600,2.080,5.000,7.000,11.875,4.500,28.64,25.29,3.35,7.40,Steering,11.160,10.833,21.993
1,38,15,2.000,2.080,2.600,12.200,2.080,5.000,7.000,11.875,4.500,28.64,28.07,0.57,7.28,Steering,11.160,11.101,22.261
1,39,15,2.000,2.080,2.600,12.800,2.080,5.000,7.000,11.875,4.500,28.64,30.72,2.09,8.11,Steering,11.160,11.394,22.555
1,40,22,2.000,2.080,2.600,13.400,2.080,5.000,8.000,11.875,4.500,32.72,28.97,3.75,7.31,Steering,11.643,11.196,22.839
1,41,1,2.000,2.080,2.600,2.000,2.080,7.400,5.000,11.875,4.500,19.93,23.07,3.15,33.54,Steering,10.419,10.647,21.066
1,42,2,2.000,2.080,2.600,2.600,2.080,7.400,5.000,11.875,5.500,23.07,17.35,5.72,30.38,Steering,10.647,10.262,20.909
1,43,2,2.000,2.080,2.600,3.200,2.080,7.400,5.000,11.875,5.500,23.07,14.96,8.11,27.15,Steering,10.647,10.139,20.785
1,44,2,2.000,2.080,2.600,3.800,2.080,7.400,5.000,11.875,5.500,23.07,12.92,10.15,23.86,Steering,10.647,10.049,20.696
1,45,2,2.000,2.080,2.600,4.400,2.080,7.400,5.000,11.875,5.500,23.07,11.50,11.58,20.54,Steering,10.647,9.996,20.642
