TxId,RxId,PanelId,TxX,TxY,TxZ,RxX,RxY,RxZ,PanelX,PanelY,PanelZ,IncidentAngleDeg,ReflectionAngleDeg,ReflectionErrorDeg,SteeringAngleDeg,SpecularStatus,DistanceTxToPanel_m,DistancePanelToRx_m,TotalDistance_m
1,2,1,2.000,2.080,2.600,2.600,2.080,2.600,5.000,9.875,4.500,24.49,21.44,3.05,45.86,Steering,8.566,8.374,16.940
1,3,1,2.000,2.080,2.600,3.200,2.080,2.600,5.000,9.875,4.500,24.49,18.56,5.93,42.71,Steering,8.566,8.223,16.788
1,4,1,2.000,2.080,2.600,3.800,2.080,2.600,5.000,9.875,4.500,24.49,16.08,8.41,39.59,Steering,8.566,8.112,16.678
1,5,1,2.000,2.080,2.600,4.400,2.080,2.600,5.000,9.875,4.500,24.49,14.34,10.15,36.57,Steering,8.566,8.046,16.611
1,6,1,2.000,2.080,2.600,5.000,2.080,2.600,5.000,9.875,4.500,24.49,13.70,10.79,33.74,Steering,8.566,8.023,16.589
1,7,1,2.000,2.080,2.600,5.600,2.080,2.600,5.000,9.875,4.500,24.49,14.34,10.15,31.20,Steering,8.566,8.046,16.611
1,8,1,2.000,2.080,2.600,6.200,2.080,2.600,5.000,9.875,4.500,24.49,16.08,8.41,29.04,Steering,8.566,8.112,16.678
1,9,1,2.000,2.080,2.600,6.800,2.080,2.600,5.000,9.875,4.500,24.49,18.56,5.93,27.36,Steering,8.566,8.223,16.788
1,10,1,2.000,2.080,2.600,7.400,2.080,2.600,5.000,9.875,4.500,24.49,21.44,3.05,26.22,Steering,8.566,8.374,16.940
1,11,1,2.000,2.080,2.600,8.000,2.080,2.600,5.000,9.875,4.500,24.49,24.49,0.00,25.63,Steering,8.566,8.566,17.131
1,12,1,2.000,2.080,2.600,8.600,2.080,2.600,5.000,9.875,4.500,24.49,27.57,3.08,25.56,Steering,8.566,8.794,17.360
1,13,8,2.000,2.080,2.600,9.200,2.080,2.600,6.000,9.875,4.500,29.60,25.52,4.08,25.40,Steering,8.965,8.638,17.603
1,14,8,2.000,2.080,2.600,9.800,2.080,2.600,6.000,9.875,4.500,29.60,28.59,1.01,24.62,Steering,8.965,8.878,17.843
1,15,8,2.000,2.080,2.600,10.400,2.080,2.600,6.000,9.875,4.500,29.60,31.59,1.98,24.33,Steering,8.965,9.151,18.116
1,16,8,2.000,2.080,2.600,11.000,2.080,2.600,6.000,9.875,4.500,29.60,34.46,4.86,24.45,Steering,8.965,9.454,18.419
1,17,15,2.000,2.080,2.600,11.600,2.080,2.600,7.000,9.875,4.500,34.46,32.56,1.90,23.55,Steering,9.454,9.248,18.702
1,18,15,2.000,2.080,2.600,12.200,2.080,2.600,7.000,9.875,4.500,34.46,35.38,0.93,23.08,Steering,9.454,9.561,19.015
1,19,15,2.000,2.080,2.600,12.800,2.080,2.600,7.000,9.875,4.500,34.46,38.06,3.60,23.00,Steering,9.454,9.900,19.354
1,20,22,2.000,2.080,2.600,13.400,2.080,2.600,8.000,9.875,4.500,38.92,36.29,2.62,22.44,Steering,10.019,9.671,19.690
1,21,1,2.000,2.080,2.600,2.000,2.080,5.000,5.000,9.875,4.500,24.49,21.31,3.18,42.65,Steering,8.566,8.367,16.933
1,22,1,2.000,2.080,2.600,2.600,2.080,5.000,5.000,9.875,4.500,24.49,17.46,7.03,38.85,Steering,8.566,8.171,16.737
1,23,1,2.000,2.080,2.600,3.200,2.080,5.000,5.000,9.875,4.500,24.49,13.48,11.01,34.90,Steering,8.566,8.016,16.581
1,24,1,2.000,2.080,2.600,3.800,2.080,5.000,5.000,9.875,4.500,24.49,9.47,15.02,30.85,Steering,8.566,7.903,16.468
1,25,1,2.000,2.080,2.600,4.400,2.080,5.000,5.000,9.875,4.500,24.49,5.72,18.77,26.77,Steering,8.566,7.834,16.400
1,26,1,2.000,2.080,2.600,5.000,2.080,5.000,5.000,9.875,4.500,24.49,3.67,20.82,22.73,Steering,8.566,7.811,16.377
1,27,1,2.000,2.080,2.600,5.600,2.080,5.000,5.000,9.875,4.500,24.49,5.72,18.77,18.83,Steering,8.566,7.834,16.400
1,28,1,2.000,2.080,2.600,6.200,2.080,5.000,5.000,9.875,4.500,24.49,9.47,15.02,15.24,Steering,8.566,7.903,16.468
1,29,1,2.000,2.080,2.600,6.800,2.080,5.000,5.000,9.875,4.500,24.49,13.48,11.01,12.19,Steering,8.566,8.016,16.581
1,30,1,2.000,2.080,2.600,7.400,2.080,5.000,5.000,9.875,4.500,24.49,17.46,7.03,10.09,Steering,8.566,8.171,16.737
1,31,1,2.000,2.080,2.600,8.000,2.080,5.000,5.000,9.875,4.500,24.49,21.31,3.18,9.39,Steering,8.566,8.367,16.933
1,32,1,2.000,2.080,2.600,8.600,2.080,5.000,5.000,9.875,4.500,24.49,25.00,0.51,10.18,Steering,8.566,8.601,17.166
1,33,8,2.000,2.080,2.600,9.200,2.080,5.000,6.000,9.875,4.500,29.60,22.56,7.04,10.06,Steering,8.965,8.441,17.406
1,34,8,2.000,2.080,2.600,9.800,2.080,5.000,6.000,9.875,4.500,29.60,26.18,3.42,9.01,Steering,8.965,8.686,17.651
1,35,8,2.000,2.080,2.600,10.400,2.080,5.000,6.000,9.875,4.500,29.60,29.60,0.00,9.32,Steering,8.965,8.965,17.930
1,36,15,2.000,2.080,2.600,11.000,2.080,5.000,7.000,9.875,4.500,34.46,27.35,7.11,9.96,Steering,9.454,8.776,18.229
1,37,15,2.000,2.080,2.600,11.600,2.080,5.000,7.000,9.875,4.500,34.46,30.69,3.76,8.69,Steering,9.454,9.065,18.519
1,38,15,2.000,2.080,2.600,12.200,2.080,5.000,7.000,9.875,4.500,34.46,33.83,0.63,8.60,Steering,9.454,9.384,18.837
1,39,15,2.000,2.080,2.600,12.800,2.080,5.000,7.000,9.875,4.500,34.46,36.75,2.30,9.50,Steering,9.454,9.729,19.183
1,40,22,2.000,2.080,2.600,13.400,2.080,5.000,8.000,9.875,4.500,38.92,34.83,4.09,8.41,Steering,10.019,9.496,19.514
1,41,1,2.000,2.080,2.600,2.000,2.080,7.400,5.000,9.875,4.500,24.49,28.16,3.67,40.87,Steering,8.566,8.841,17.407
1,42,2,2.000,2.080,2.600,2.600,2.080,7.400,5.000,9.875,5.500,28.16,21.44,6.72,37.08,Steering,8.841,8.374,17.216
1,43,2,2.000,2.080,2.600,3.200,2.080,7.400,5.000,9.875,5.500,28.16,18.56,9.60,33.14,Steering,8.841,8.223,17.064
1,44,2,2.000,2.080,2.600,3.800,2.080,7.400,5.000,9.875,5.500,28.16,16.08,12.08,29.10,Steering,8.841,8.112,16.954
1,45,2,2.000,2.080,2.600,4.400,2.080,7.400,5.000,9.875,5.500,28.16,14.34,13.82,25.00,Steering,8.841,8.046,16.887
1,46,2,2.000,2.080,2.600,5.000,2.080,7.400,5.000,9.875,5.500,28.16,13.70,14.46,20.90,Steering,8.841,8.023,16.865
1,47,2,2.000,2.080,2.600,5.600,2.080,7.400,5.000,9.875,5.500,28.16,14.34,13.82,16.88,Steering,8.841,8.046,16.887
1,48,2,2.000,2.080,2.600,6.200,2.080,7.400,5.000,9.875,5.500,28.16,16.08,12.08,13.06,Steering,8.841,8.112,16.954
1,49,2,2.000,2.080,2.600,6.800,2.080,7.400,5.000,9.875,5.500,28.16,18.56,9.60,9.65,Steering,8.841,8.223,17.064
1,50,2,2.000,2.080,2.600,7.400,2.080,7.400,5.000,9.875,5.500,28.16,21.44,6.72,7.12,Steering,8.841,8.374,17.216
1,51,1,2.000,2.080,2.600,8.000,2.080,7.400,5.000,9.875,4.500,24.49,28.16,3.67,6.33,Steering,8.566,8.841,17.407
1,52,1,2.000,2.080,2.600,8.600,2.080,7.400,5.000,9.875,4.500,24.49,30.67,6.18,6.86,Steering,8.566,9.063,17.628
1,53,9,2.000,2.080,2.600,9.200,2.080,7.400,6.000,9.875,5.500,32.37,25.52,6.85,7.30,Steering,9.229,8.638,17.867
1,54,9,2.000,2.080,2.600,9.800,2.080,7.400,6.000,9.875,5.500,32.37,28.59,3.78,6.06,Steering,9.229,8.878,18.106
1,55,8,2.000,2.080,2.600,10.400,2.080,7.400,6.000,9.875,4.500,29.60,34.06,4.46,6.12,Steering,8.965,9.409,18.374
1,56,8,2.000,2.080,2.600,11.000,2.080,7.400,6.000,9.875,4.500,29.60,36.56,6.96,7.41,Steering,8.965,9.704,18.669
1,57,16,2.000,2.080,2.600,11.600,2.080,7.400,7.000,9.875,5.500,36.56,32.56,4.00,5.90,Steering,9.704,9.248,18.953
1,58,15,2.000,2.080,2.600,12.200,2.080,7.400,7.000,9.875,4.500,34.46,37.37,2.92,5.69,Steering,9.454,9.809,19.262
1,59,15,2.000,2.080,2.600,12.800,2.080,7.400,7.000,9.875,4.500,34.46,39.76,5.30,6.33,Steering,9.454,10.140,19.593
1,60,23,2.000,2.080,2.600,13.400,2.080,7.400,8.000,9.875,5.500,40.53,36.29,4.23,5.81,Steering,10.255,9.671,19.927
1,61,3,2.000,2.080,2.600,2.000,2.080,9.800,5.000,9.875,6.500,32.26,29.78,2.49,38.67,Steering,9.218,8.981,18.199
1,62,3,2.000,2.080,2.600,2.600,2.080,9.800,5.000,9.875,6.500,32.26,27.63,4.63,35.01,Steering,9.218,8.798,18.016
1,63,3,2.000,2.080,2.600,3.200,2.080,9.800,5.000,9.875,6.500,32.26,25.74,6.52,31.20,Steering,9.218,8.654,17.872
1,64,3,2.000,2.080,2.600,3.800,2.080,9.800,5.000,9.875,6.500,32.26,24.25,8.01,27.30,Steering,9.218,8.549,17.767
1,65,3,2.000,2.080,2.600,4.400,2.080,9.800,5.000,9.875,6.500,32.26,23.28,8.98,23.32,Steering,9.218,8.486,17.704
1,66,3,2.000,2.080,2.600,5.000,2.080,9.800,5.000,9.875,6.500,32.26,22.95,9.32,19.32,Steering,9.218,8.465,17.683
1,67,3,2.000,2.080,2.600,5.600,2.080,9.800,5.000,9.875,6.500,32.26,23.28,8.98,15.35,Steering,9.218,8.486,17.704
1,68,3,2.000,2.080,2.600,6.200,2.080,9.800,5.000,9.875,6.500,32.26,24.25,8.01,11.48,Steering,9.218,8.549,17.767
1,69,3,2.000,2.080,2.600,6.800,2.080,9.800,5.000,9.875,6.500,32.26,25.74,6.52,7.82,Steering,9.218,8.654,17.872
1,70,3,2.000,2.080,2.600,7.400,2.080,9.800,5.000,9.875,6.500,32.26,27.63,4.63,4.69,Specular,9.218,8.798,18.016
1,71,3,2.000,2.080,2.600,8.000,2.080,9.800,5.000,9.875,6.500,32.26,29.78,2.49,3.47,Specular,9.218,8.981,18.199
1,72,3,2.000,2.080,2.600,8.600,2.080,9.800,5.000,9.875,6.500,32.26,32.07,0.19,5.28,Steering,9.218,9.198,18.417
1,73,10,2.000,2.080,2.600,9.200,2.080,9.800,6.000,9.875,6.500,35.63,30.53,5.10,5.18,Steering,9.590,9.049,18.640
1,74,10,2.000,2.080,2.600,9.800,2.080,9.800,6.000,9.875,6.500,35.63,32.85,2.78,3.34,Specular,9.590,9.279,18.869
1,75,10,2.000,2.080,2.600,10.400,2.080,9.800,6.000,9.875,6.500,35.63,35.21,0.42,4.31,Specular,9.590,9.540,19.130
1,76,17,2.000,2.080,2.600,11.000,2.080,9.800,7.000,9.875,6.500,39.13,33.63,5.49,5.57,Steering,10.048,9.362,19.411
1,77,17,2.000,2.080,2.600,11.600,2.080,9.800,7.000,9.875,6.500,39.13,35.99,3.14,3.44,Specular,10.048,9.634,19.682
1,78,17,2.000,2.080,2.600,12.200,2.080,9.800,7.000,9.875,6.500,39.13,38.31,0.82,3.57,Specular,10.048,9.934,19.983
1,79,17,2.000,2.080,2.600,12.800,2.080,9.800,7.000,9.875,6.500,39.13,40.57,1.44,5.52,Steering,10.048,10.261,20.310
1,80,24,2.000,2.080,2.600,13.400,2.080,9.800,8.000,9.875,6.500,42.55,39.07,3.48,3.63,Specular,10.582,10.041,20.622
1,81,4,2.000,2.080,2.600,2.000,2.080,12.200,5.000,9.875,7.500,36.39,35.58,0.82,36.30,Steering,9.684,9.584,19.268
1,82,4,2.000,2.080,2.600,2.600,2.080,12.200,5.000,9.875,7.500,36.39,34.10,2.29,32.84,Steering,9.684,9.413,19.097
1,83,4,2.000,2.080,2.600,3.200,2.080,12.200,5.000,9.875,7.500,36.39,32.85,3.54,29.25,Steering,9.684,9.279,18.962
1,84,4,2.000,2.080,2.600,3.800,2.080,12.200,5.000,9.875,7.500,36.39,31.89,4.50,25.58,Steering,9.684,9.181,18.865
1,85,4,2.000,2.080,2.600,4.400,2.080,12.200,5.000,9.875,7.500,36.39,31.29,5.10,21.84,Steering,9.684,9.122,18.806
1,86,4,2.000,2.080,2.600,5.000,2.080,12.200,5.000,9.875,7.500,36.39,31.09,5.30,18.08,Steering,9.684,9.102,18.786
1,87,4,2.000,2.080,2.600,5.600,2.080,12.200,5.000,9.875,7.500,36.39,31.29,5.10,14.31,Steering,9.684,9.122,18.806
1,88,4,2.000,2.080,2.600,6.200,2.080,12.200,5.000,9.875,7.500,36.39,31.89,4.50,10.59,Steering,9.684,9.181,18.865
1,89,4,2.000,2.080,2.600,6.800,2.080,12.200,5.000,9.875,7.500,36.39,32.85,3.54,6.94,Steering,9.684,9.279,18.962
1,90,4,2.000,2.080,2.600,7.400,2.080,12.200,5.000,9.875,7.500,36.39,34.10,2.29,3.43,Specular,9.684,9.413,19.097
1,91,4,2.000,2.080,2.600,8.000,2.080,12.200,5.000,9.875,7.500,36.39,35.58,0.82,1.03,Specular,9.684,9.584,19.268
1,92,4,2.000,2.080,2.600,8.600,2.080,12.200,5.000,9.875,7.500,36.39,37.22,0.82,3.67,Specular,9.684,9.788,19.472
1,93,11,2.000,2.080,2.600,9.200,2.080,12.200,6.000,9.875,7.500,39.06,36.11,2.95,4.23,Specular,10.039,9.648,19.687
1,94,11,2.000,2.080,2.600,9.800,2.080,12.200,6.000,9.875,7.500,39.06,37.79,1.27,1.28,Specular,10.039,9.864,19.902
1,95,11,2.000,2.080,2.600,10.400,2.080,12.200,6.000,9.875,7.500,39.06,39.55,0.50,2.51,Specular,10.039,10.110,20.149
1,96,18,2.000,2.080,2.600,11.000,2.080,12.200,7.000,9.875,7.500,41.93,38.37,3.56,4.88,Specular,10.477,9.942,20.420
1,97,18,2.000,2.080,2.600,11.600,2.080,12.200,7.000,9.875,7.500,41.93,40.15,1.77,1.94,Specular,10.477,10.199,20.676
1,98,18,2.000,2.080,2.600,12.200,2.080,12.200,7.000,9.875,7.500,41.93,41.96,0.03,1.55,Specular,10.477,10.483,20.960
1,99,18,2.000,2.080,2.600,12.800,2.080,12.200,7.000,9.875,7.500,41.93,43.76,1.84,4.10,Specular,10.477,10.793,21.270
1,100,25,2.000,2.080,2.600,13.400,2.080,12.200,8.000,9.875,7.500,44.82,42.56,2.26,2.58,Specular,10.990,10.584,21.573
2,1,1,2.600,2.080,2.600,2.000,2.080,2.600,5.000,9.875,4.500,21.44,24.49,3.05,45.86,Steering,8.374,8.566,16.940
2,3,1,2.600,2.080,2.600,3.200,2.080,2.600,5.000,9.875,4.500,21.44,18.56,2.88,39.89,Steering,8.374,8.223,16.597
2,4,1,2.600,2.080,2.600,3.800,2.080,2.600,5.000,9.875,4.500,21.44,16.08,5.36,36.98,Steering,8.374,8.112,16.487
2,5,1,2.600,2.080,2.600,4.400,2.080,2.600,5.000,9.875,4.500,21.44,14.34,7.10,34.22,Steering,8.374,8.046,16.420
2,6,1,2.600,2.080,2.600,5.000,2.080,2.600,5.000,9.875,4.500,21.44,13.70,7.74,31.72,Steering,8.374,8.023,16.398
2,7,1,2.600,2.080,2.600,5.600,2.080,2.600,5.000,9.875,4.500,21.44,14.34,7.10,29.59,Steering,8.374,8.046,16.420
